36,Remise à niveau mathématique,- Cours sur les fonctions usuelles,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
36,Remise à niveau mathématique,- TD sur les fonctions usuelles,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
36,Projet Accueil,"- Présentation du projet d'accueil
36,Fresque du climat,- Réalisation d'une fresque du climat avec notre groupe de projet d'accueil,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
36,Réunion de rentrée ,"- Réunion de rentrée POLYTECH
36,Réunion,- Réunion de rentrée BDE,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
36,TOEIC,- Test du TOEIC,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
36,Réunion,- Présentation de l'ENT,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
37,Remise à niveau mathématique,"- Cours sur les nombres complexes
37,Anglais,"- Presentation du programme 
37,Automatisme,- Introduction à l'automatisme,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
37,Remise à niveau informatique,- Cours sur l'histoire et le fonctionnement d'Unix et de bash,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
37,Remise à niveau électronique,- Cours d'introduction,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
37,Projet Accueil,- Prise de connaisance du projet interspecialités,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
38,Remise à niveau informatique,- TP de remise à niveau où chaqun avance à son rythme,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
38,Anglais,"- Exposé sur un article choisi
38,Remise à niveau mathématique,"- Cours sur les nombres complexes
38,Automatisme,"-Découverte Grafcet, Gemma",O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
38,Elections délégués,Antoine Balan et Alexandre Bourcier élus délégués,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
38,AMIIC,"-Découverte diagramme bête à cornes, schéma fonctionnel de niveau 1",O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
41,Semaine internationale,"- Présentations mobilités internationales 
41,Projet Accueil,"- Travail en autonomie sur le projet
41,Automatisme,"- CM sur la logique cablée
41,Anglais,"- Exposé sur un article choisi
41,Remise à niveau informatique,- TP de remise à niveau où chaqun avance à son rythme,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
41,Remise à niveau mathématique,- TD sur les matrices,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
42,Algèbre,- CM et TD sur les équations vectorielles,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
42,Anglais,"- Exposé sur un article choisi
42,Algorithmique,"- CM d'introduction au LDA et aux opérations algorithmiques
42,Remise à niveau informatique,"- TP de C, feuilles 1 et 2 d'exercices",O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
42,Automatisme,"- Fin de la feuille d'exercices sur les GRAFCETs et le GEMMA
42,AMIIC,"- CM sur l'analyse fonctionnelle, présentation du système support
42,Fondamenteaux de l'économie,"- CM (niveaux d'économie, ressources, biens et services, agents économiques, secteurs d'activité & indicateurs économiques (PIB))",O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
43,Algorithmique,- Cours sur la syntaxe de l'algorithmique,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
43,Anglais,"- Exposé sur un article choisi
43,Automatisme,- TP par binome sur divers exercices,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
43,Algèbre,"- TD, Divers exercices autour des thèmes abordés précédemment",O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
43,AMIIC,"- Analyse de signaux du SF1D
43,Algorithmique,- Exercices d'introduction à l'algorithmique,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
43,Remise à niveau informatique,- Dernier TP pour finir les feuilles d'exercices,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
43,AMIIC,- Cours sur les capteurs et les spécificités,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
43,Remise à niveau électronique,- TP autours des portes NAND,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
43,Droit du travail et des affaires,"- Cours d'introduction au droit du travail et des affaires
43,Droit du travail et des affaires,"- Suite du cours précédent
43,Projet Accueil,"- Présentation des soutenances devant un jury
43,AMIIC,- TD sur l'analyse d'un capteur et simulation de son fonctionnement,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
43,Projet Accueil,- Conclusion du projet d'accueil et auto évaluation de nos compétences,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
43,Algorithmique,- Exercices d'algorithmique orientés autour des tableaux,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
47,Algèbre,- CM sur la diagonalisation de matrices,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
47,Anglais,"- Presentation des exposés
47,Algorithmique,- Dernière séance de TP,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
47,Analyse,- CMs sur les équations différentielles,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
47,AMIIC,-TP d'intégration de capteurs,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
47,Base de données et Conception,- CM sur le dictionnaire de données,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
47,Fondamenteaux de l'économie,"- CM sur la formation des prix, l'inflation et le pouvoir d'achat",O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
47,Probabilités,- Professeur absent,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
48,Analyse,- TD sur la dérivation et l'intégration,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
48,Anglais,"- Exposé sur un article choisi
48,Prévention mal-être étudiant,- C'était très bien,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
48,Projet électronique,- Lancement des projets ,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
48,Probabilités,- CM introductif sur les probabilités conditionnelles,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
48,AMIIC,"- CM sur la fonction amplification
48,Algèbre,- TD sur la diagonalisation,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
48,Algorithmique,- TD sur les algorithmes de tri,O (Sans Objet),A VOUS DE LE REMPLIR - NE RIEN ÉCRIRE - MERCI
